,4FGL,RA,Dec,N_100,Delta_N,N_300,Gamma,z,Type,HSP,Table,ovdvalue
123,1ES 1312-423,198.768,-42.611,5,8,1,1.794±0.066,0.105,BLL,E,0,0.27347128130967874
206,PKS 1619-765,246.655,-76.65,2,2,0,1.92±0.07,0.105,BLL,,3,-0.16752413200804742
43,PKS 0447-439,72.358,-43.835,22,38,1,1.869±0.008,0.107,BLL,,0,-0.13187657244452722
214,PMN J1610-6649,242.692,-66.815,4,5,0,1.76±0.02,0.11,BLL,,2,-0.08179098146184118
183,PKS 2155-304,329.714,-30.225,58,83,8,1.857±0.006,0.116,BLL,,0,0.09401597875840251
168,B2 1811+31,273.387,31.75,2,3,1,2.009±0.026,0.117,BLL,,0,-0.20925728712190517
172,1RXS J195815.6-301119,299.581,-30.181,1,6,0,1.833±0.041,0.119,BLL,E,0,0.5629595804978141
193,B3 2247+381,342.514,38.425,5,7,2,1.77±0.048,0.119,BLL,,0,-0.09812721539822977
30,PMN J0209-5229,32.349,-52.48,7,12,0,1.84±0.02,0.12,BLL,,2,-0.22649500707660955
215,4FGL J1838.4-6023,279.601,-60.393,2,2,0,2.0±0.13,0.121,BLL,,3,-0.10896044334848166
124,RX J0805.4+7534,121.362,75.577,13,15,4,1.84±0.02,0.121,BLL,,2,-0.1252922593446044
155,S5 1027+74,157.792,74.702,3,5,1,2.18±0.07,0.123,BLL,,2,0.274783805414113
170,RBS 0970,170.201,42.204,10,12,0,1.64±0.02,0.124,BLL,,2,0.04860435381823828
62,RGB J0710+591,107.623,59.135,3,4,1,1.703±0.043,0.125,BLL,E,0,-0.1919311026338778
138,H 1426+428,217.129,42.678,9,11,4,1.659±0.038,0.129,BLL,E,0,0.053527295885118585
99,1ES 1215+303,184.476,30.118,10,16,2,1.936±0.01,0.1313,BLL,,0,0.21909002293110955
209,1RXS J155333.4-311841,238.392,-31.311,3,4,0,1.95±0.03,0.132,BLL,,2,0.06654781721717958
95,RX J1136.5+6737,174.118,67.613,3,4,2,1.775±0.043,0.134,BLL,E,0,0.07436757796053252
113,S3 1227+25,187.56,25.298,2,3,0,2.096±0.013,0.135,BLL,,0,0.023902762296824486
243,1H 1914-194,289.438,-19.363,10,12,2,1.95±0.02,0.137,BLL,,2,-0.16029373682826936
69,1ES 0806+524,122.462,52.314,14,20,2,1.882±0.014,0.137,BLL,,0,-0.056108855534999676
166,RBS 0958,169.271,20.229,6,6,0,1.9±0.03,0.138,BLL,,2,0.13112616792828702
12,1ES 0229+200,38.214,20.316,2,6,1,1.752±0.08,0.14,BLL,E,0,0.3439900816130687
152,TXS 1515-273,229.512,-27.531,2,3,0,2.036±0.033,0.14,BLL,,0,-0.21739747713774565
146,TXS 1055+567,164.665,56.463,2,2,0,1.97±0.01,0.143,BLL,,3,0.4100378284729539
81,1RXS J101015.9-311909,152.572,-31.321,6,6,2,1.765±0.051,0.143,BLL,,0,0.3331592025225324
60,1H 0323+022,51.572,2.423,2,3,0,1.92±0.05,0.147,BLL,,2,0.17077800428674517
38,WN B0210.3+7540,33.828,75.919,2,2,2,1.8±0.12,0.15,BCU,,3,-0.09844517330097612
234,RGB J2054+002,313.725,0.257,2,2,0,1.9±0.1,0.151,BLL,,3,-0.09789518358954874
8,1RXS J005117.7-624154,12.824,-62.704,2,5,1,1.77±0.02,0.156,BLL,,2,0.11829576784542208
136,PKS 1424+240,216.756,23.801,16,31,0,1.816±0.008,0.16,BLL,,0,0.6170813811381588
242,PMN J1911-1908,287.868,-19.149,2,4,0,1.87±0.07,0.16,BLL,E,2,-0.04615531135432406
66,1RXS J033623.3-034727,54.13,-3.812,3,3,0,1.68±0.12,0.162,BLL,E,2,0.021498659766121767
20,1ES 1440+122,220.698,12.013,1,4,0,1.76±0.05,0.163,BLL,E,1,0.31362086923682897
252,RGB J2313+147,348.508,14.753,2,2,0,1.82±0.05,0.164,BLL,E,3,0.40248864272927865
198,H 2356-309,359.772,-30.637,3,5,0,1.838±0.059,0.165,BLL,E,0,0.25101429231478106
274,TXS 2344+068,356.679,7.093,2,6,1,1.9±0.04,0.171,BLL,,2,-0.1724687197292139
185,SDSS J134105.10+395945.4,205.321,39.974,4,6,2,1.79±0.08,0.171,BLL,E,2,0.26983516276174896
205,NVSS J154419-064913,236.079,-6.826,6,7,1,1.87±0.04,0.172,BCU,,2,-0.10187966051413826
195,1ES 2322-409,351.182,-40.683,3,4,0,1.762±0.036,0.174,BLL,,0,0.17974593263606553
145,RBS 0804,148.063,75.055,4,4,1,1.53±0.11,0.179,BLL,E,2,0.24047430528558092
61,GB6 J0442+6140,70.678,61.705,2,2,0,1.96±0.08,0.18,BLL,E,3,0.06441042431409087
102,1ES 1218+304,185.345,30.168,28,39,10,1.737±0.017,0.184,BLL,,0,0.20853480494750176
141,4C +01.28,164.624,1.564,1,3,0,2.23±0.01,0.185,BLL,,3,-0.2508806555635394
87,1ES 1101-232,165.909,-23.496,1,6,1,1.699±0.06,0.186,BLL,E,0,-0.007507289355464486
120,1ES 0927+500,142.625,49.858,2,2,0,1.85±0.13,0.187,BLL,E,3,-0.20908483587262258
36,1ES 0347-121,57.354,-11.994,3,3,1,1.854±0.063,0.188,BLL,E,0,0.057296560081549236
31,RBS 0413,49.972,18.753,3,7,1,1.709±0.054,0.19,BLL,E,0,-0.3317200944998451
208,PMN J1548-2251,237.201,-22.847,5,8,1,1.8±0.04,0.192,BLL,,2,-0.23621764598974698
76,MRC 0910-208,138.227,-21.045,6,11,1,1.816±0.038,0.198,BLL,E,0,-0.01404493068754282
6,RBS 0723,131.812,11.569,2,2,0,1.77±0.06,0.198,BLL,E,1,-0.12310068640730493
34,4FGL J0211.2+1051,32.809,10.857,3,5,1,2.08±0.01,0.2,BLL,,2,-0.1467562509301574
73,1RXS J081201.8+023735,123.009,2.628,3,3,1,1.882±0.068,0.2,BLL,,0,-0.19811684376726857
96,4C +54.15,118.253,53.889,2,2,0,2.13±0.03,0.2,BLL,,3,0.13669697500820246
255,4FGL J2321.0-6308,350.258,-63.137,2,2,0,1.85±0.11,0.2,BLL,,3,-0.23164531674174843
57,1ES 0647+250,102.699,25.055,15,28,2,1.738±0.014,0.203,BLL,,0,0.05394567524631311
110,RX J0830.1+5230,127.511,52.531,2,2,0,1.78±0.13,0.205,BLL,E,3,-0.01602920441994936
129,1RXS J095812.8-675241,149.534,-67.894,1,3,0,2.58±0.14,0.21,BCU,,3,-0.05604523086752804
112,GB6 J0723+2051,110.949,20.837,4,6,1,1.82±0.08,0.21,BLL,,2,0.16964337199931984
271,NVSS J232914+375414,352.318,37.921,3,4,0,1.88±0.05,0.21,BLL,,2,-0.4700950159142224
125,RX J0940.3+6148,145.121,61.816,2,2,0,1.82±0.08,0.211,BLL,,3,-0.08469477491109646
84,1ES 1011+496,153.768,49.434,19,31,3,1.85±0.008,0.212,BLL,,0,0.39768066482575504
108,MS 1221.8+2452,186.116,24.614,3,3,0,1.937±0.035,0.219,BLL,,0,-0.0178369577328276
237,NVSS J185023+263151,282.64,26.526,3,5,0,1.69±0.1,0.22,BLL,,2,-0.38698544066732393
211,4FGL J1554.2+2008,238.553,20.148,2,3,0,1.82±0.09,0.222,BLL,E,2,0.450684486883031
149,RX J1100.3+4019,165.091,40.335,2,2,0,1.85±0.06,0.225,BLL,,3,0.15405253784395362
249,4FGL J2252.0+4031,343.01,40.523,2,2,0,2.07±0.04,0.229,BLL,,3,0.08593673990282075
223,1RXS J195500.6-160328,298.777,-16.072,2,2,0,2.0±0.07,0.23,BLL,,3,-0.3440595435857553
227,PMN J2014-0047,303.599,-0.792,1,3,1,2.0±0.08,0.231,BLL,,3,-0.008656426743227736
16,1RXS J023832.6-311658,39.621,-31.283,4,6,1,1.821±0.037,0.233,BLL,,0,-0.31136209155224137
194,MS 1458.8+2249,225.257,22.636,2,2,0,2.02±0.03,0.235,BLL,,3,0.5912951573943243
133,RBS 1366,214.494,25.724,4,5,1,1.473±0.069,0.236,BLL,E,0,0.19966838305169923
10,B3 0037+405,10.099,40.836,1,3,1,1.88±0.11,0.24,BLL,E,3,-0.43104012722712776
158,NVSS J114023+152808,175.129,15.482,2,2,0,1.73±0.14,0.244,BLL,,3,0.06570290017915725
130,PKS 1413+135,214.003,13.339,3,3,0,2.069±0.021,0.247,BLL,,0,-0.032374017883126965
106,PMN J0827-0708,126.762,-7.144,1,3,0,1.77±0.07,0.247,BLL,,3,-0.16148445116461901
33,1RXS J015658.6-530208,29.233,-53.031,2,2,0,1.78±0.05,0.25,BLL,E,3,-0.06804998830541852
142,4FGL J0934.5-1720,143.628,-17.339,4,4,0,1.9±0.14,0.25,BLL,E,2,0.05307843655729177
37,RX J0212.3-0222,33.066,-2.319,4,5,1,1.97±0.08,0.25,BLL,E,2,0.28280880120626944
97,GB6 J0516+7350,79.104,73.85,2,3,0,1.88±0.05,0.251,BLL,,2,-0.24978029431812793
260,1RXS J204921.6-003930,312.446,-0.616,2,3,1,1.53±0.25,0.257,BLL,,2,-0.11607974765168229
75,4FGL J0350.0+0640,57.504,6.675,3,3,0,1.47±0.18,0.26,BCU,E,2,-0.2147529548847889
23,PKS 0301-243,45.862,-24.122,8,10,0,1.912±0.013,0.26,BLL,,0,-0.22589140024391163
250,PMN J1936-4719,294.242,-47.34,3,3,0,1.82±0.05,0.265,BLL,E,2,-0.40468895770852537
47,RBS 0351,41.158,-58.326,5,6,0,1.72±0.04,0.265,BLL,E,2,-0.27581172948461175
