,4FGL,RA,Dec,N_100,Delta_N,N_300,Gamma,z,Type,HSP,Table
31,RBS 0413,49.972,18.753,3,7,1,1.709±0.054,0.19,BLL,E,0
33,1RXS J015658.6-530208,29.233,-53.031,2,2,0,1.78±0.05,0.25,BLL,E,3
34,4FGL J0211.2+1051,32.809,10.857,3,5,1,2.08±0.01,0.2,BLL,,2
35,PKS 0346-27,57.154,-27.822,3,3,0,2.086±0.006,0.99,FSRQ,,0
36,1ES 0347-121,57.354,-11.994,3,3,1,1.854±0.063,0.188,BLL,E,0
37,RX J0212.3-0222,33.066,-2.319,4,5,1,1.97±0.08,0.25,BLL,E,2
38,WN B0210.3+7540,33.828,75.919,2,2,2,1.8±0.12,0.15,BCU,,3
39,1ES 0414+009,64.227,1.088,3,7,2,1.849±0.054,0.287,BLL,,0
40,RBS 0298,34.141,23.229,3,3,0,1.88±0.09,0.288,BLL,,2
41,RBS 0334,39.424,-36.042,2,2,0,1.9±0.08,0.411,BLL,,3
43,PKS 0447-439,72.358,-43.835,22,38,1,1.869±0.008,0.107,BLL,,0
45,1ES 0502+675,76.996,67.622,25,34,6,1.589±0.02,0.314,BLL,E,0
46,NGC 1218,47.111,4.118,2,2,0,2.01±0.05,0.03,RDG,,3
47,RBS 0351,41.158,-58.326,5,6,0,1.72±0.04,0.265,BLL,E,2
49,TXS 0506+056,77.359,5.701,4,6,0,2.108±0.012,0.336,BLL,,0
50,V Zw 326,48.228,36.234,6,6,3,1.87±0.07,0.071,BLL,,2
51,GB6 J0316+0904,49.058,9.095,3,4,1,1.89±0.03,0.372,BLL,,2
52,MS 0419.3+1943,65.587,19.862,1,3,0,1.92±0.09,0.516,BLL,E,3
53,PKS 0548-322,87.625,-32.277,4,5,0,1.829±0.071,0.069,BLL,E,0
54,1RXS J032521.8-563543,51.379,-56.591,3,3,0,1.91±0.03,0.06,BLL,,2
55,PKS 0422+00,66.195,0.603,2,2,0,2.2±0.03,0.268,BLL,,3
56,PKS 0625-35,96.775,-35.487,9,11,3,1.913±0.029,0.055,RDG,,0
57,1ES 0647+250,102.699,25.055,15,28,2,1.738±0.014,0.203,BLL,,0
59,RBS 0421,51.418,-16.781,2,3,0,1.89±0.04,0.291,BLL,,2
60,1H 0323+022,51.572,2.423,2,3,0,1.92±0.05,0.147,BLL,,2
61,GB6 J0442+6140,70.678,61.705,2,2,0,1.96±0.08,0.18,BLL,E,3
62,RGB J0710+591,107.623,59.135,3,4,1,1.703±0.043,0.125,BLL,E,0
63,4C +39.12,53.582,39.339,2,4,1,1.82±0.1,0.02,RDG,,2
64,PKS 0454-234,74.261,-23.415,2,2,0,2.19±0.01,1.0,FSRQ,,3
65,S5 0716+714,110.488,71.34,13,19,1,2.065±0.005,0.3,BLL,,0
66,1RXS J033623.3-034727,54.13,-3.812,3,3,0,1.68±0.12,0.162,BLL,E,2
67,4FGL J0505.6+0415,76.404,4.266,2,2,0,1.92±0.07,0.424,BLL,,3
68,PGC 2402248,113.362,51.88,3,5,1,1.769±0.079,0.065,BLL,E,0
69,1ES 0806+524,122.462,52.314,14,20,2,1.882±0.014,0.137,BLL,,0
70,NVSS J033859-284619,54.745,-28.801,2,3,0,1.97±0.05,0.27,BCU,,2
71,PKS 0521-36,80.737,-36.469,1,3,1,2.45±0.01,0.055,BCU,,3
73,1RXS J081201.8+023735,123.009,2.628,3,3,1,1.882±0.068,0.2,BLL,,0
74,PKS 0336-177,54.812,-17.6,2,3,1,1.92±0.04,0.066,BLL,,2
75,4FGL J0350.0+0640,57.504,6.675,3,3,0,1.47±0.18,0.26,BCU,E,2
76,MRC 0910-208,138.227,-21.045,6,11,1,1.816±0.038,0.198,BLL,E,0
79,PKS 0352-686,58.274,-68.528,2,5,0,1.67±0.07,0.088,BLL,E,2
80,S4 0954+65,149.69,65.568,4,5,0,2.191±0.01,0.367,BLL,,0
81,1RXS J101015.9-311909,152.572,-31.321,6,6,2,1.765±0.051,0.143,BLL,,0
83,PKS 0426-380,67.173,-37.94,3,3,0,2.1±0.01,1.111,BLL,,2
84,1ES 1011+496,153.768,49.434,19,31,3,1.85±0.008,0.212,BLL,,0
87,1ES 1101-232,165.909,-23.496,1,6,1,1.699±0.06,0.186,BLL,E,0
88,GB6 J0712+5033,108.188,50.551,2,2,0,2.21±0.03,0.502,BLL,,3
89,RX J0505.9+6113,76.512,61.226,2,3,0,1.96±0.05,0.27,BLL,,2
92,Markarian 421,166.119,38.207,232,314,69,1.785±0.004,0.03,BLL,,0
95,RX J1136.5+6737,174.118,67.613,3,4,2,1.775±0.043,0.134,BLL,E,0
96,4C +54.15,118.253,53.889,2,2,0,2.13±0.03,0.2,BLL,,3
97,GB6 J0516+7350,79.104,73.85,2,3,0,1.88±0.05,0.251,BLL,,2
98,Markarian 180,174.122,70.154,6,8,3,1.828±0.025,0.046,BLL,,0
99,1ES 1215+303,184.476,30.118,10,16,2,1.936±0.01,0.1313,BLL,,0
100,4FGL J0806.5+5930,121.65,59.514,2,2,0,2.04±0.08,0.3,BLL,,3
101,PKS 0537-441,84.709,-44.086,2,4,0,2.14±0.01,0.894,BLL,,2
102,1ES 1218+304,185.345,30.168,28,39,10,1.737±0.017,0.184,BLL,,0
103,B2 0806+35,122.422,34.925,2,2,0,1.89±0.09,0.082,BLL,,3
105,1RXS J054357.3-553206,85.981,-55.533,17,22,1,1.78±0.02,0.273,BLL,,2
106,PMN J0827-0708,126.762,-7.144,1,3,0,1.77±0.07,0.247,BLL,,3
107,W Comae,185.378,28.238,2,3,1,2.156±0.017,0.103,BLL,,0
108,MS 1221.8+2452,186.116,24.614,3,3,0,1.937±0.035,0.219,BLL,,0
110,RX J0830.1+5230,127.511,52.531,2,2,0,1.78±0.13,0.205,BLL,E,3
112,GB6 J0723+2051,110.949,20.837,4,6,1,1.82±0.08,0.21,BLL,,2
113,S3 1227+25,187.56,25.298,2,3,0,2.096±0.013,0.135,BLL,,0
114,B3 0850+443,133.593,44.149,2,2,0,1.9±0.06,0.634,BLL,,3
115,M 87,187.712,12.388,5,7,0,2.064±0.028,0.004,RDG,,0
116,PKS 0735+17,114.539,17.707,2,4,0,2.03±0.01,0.45,BLL,,2
117,3C 279,194.042,-5.789,2,3,0,2.293±0.004,0.535,FSRQ,,0
118,GB6 J0929+5013,142.327,50.235,1,3,0,2.1±0.03,0.37,BLL,,3
119,MS 0737.9+7441,116.035,74.578,3,5,0,1.81±0.06,0.314,BLL,,2
120,1ES 0927+500,142.625,49.858,2,2,0,1.85±0.13,0.187,BLL,E,3
121,OP 313,197.632,32.355,3,3,0,2.23±0.014,0.996,FSRQ,,0
123,1ES 1312-423,198.768,-42.611,5,8,1,1.794±0.066,0.105,BLL,E,0
124,RX J0805.4+7534,121.362,75.577,13,15,4,1.84±0.02,0.121,BLL,,2
125,RX J0940.3+6148,145.121,61.816,2,2,0,1.82±0.08,0.211,BLL,,3
126,Centaurus A,201.381,-43.016,5,6,1,2.574±0.019,0.002,RDG,,0
127,PMN J0816-1311,124.112,-13.197,4,4,0,1.84±0.03,0.046,BLL,,2
128,PMN J0953-0840,148.263,-8.67,2,2,0,1.89±0.02,0.59,BLL,,3
129,1RXS J095812.8-675241,149.534,-67.894,1,3,0,2.58±0.14,0.21,BCU,,3
130,PKS 1413+135,214.003,13.339,3,3,0,2.069±0.021,0.247,BLL,,0
131,PMN J0847-2337,131.757,-23.614,7,11,1,1.92±0.03,0.059,BLL,,2
132,B3 1009+427,153.194,42.482,2,2,1,1.8±0.06,0.365,BLL,,3
133,RBS 1366,214.494,25.724,4,5,1,1.473±0.069,0.236,BLL,E,0
134,Ton 1015,137.651,33.491,2,3,0,1.94±0.03,0.354,BLL,,2
135,1RXS J104057.7+134216,160.266,13.71,2,2,0,1.91±0.12,0.557,BLL,,3
136,PKS 1424+240,216.756,23.801,16,31,0,1.816±0.008,0.16,BLL,,0
137,RX J0912.5+1555,138.137,15.934,3,3,1,1.79±0.09,0.085,BLL,E,2
138,H 1426+428,217.129,42.678,9,11,4,1.659±0.038,0.129,BLL,E,0
140,Ton 0396,138.986,29.553,2,5,0,1.86±0.02,1.521,BLL,,2
141,4C +01.28,164.624,1.564,1,3,0,2.23±0.01,0.185,BLL,,3
142,4FGL J0934.5-1720,143.628,-17.339,4,4,0,1.9±0.14,0.25,BLL,E,2
143,PKS 1440-389,220.991,-39.148,18,21,1,1.834±0.015,0.065,BLL,,0
144,PKS 1510-089,228.215,-9.106,6,7,0,2.379±0.005,0.356,FSRQ,,0
145,RBS 0804,148.063,75.055,4,4,1,1.53±0.11,0.179,BLL,E,2
146,TXS 1055+567,164.665,56.463,2,2,0,1.97±0.01,0.143,BLL,,3
147,4C +55.17,149.416,55.384,3,3,0,2.02±0.01,0.903,FSRQ,,2
148,AP Lib,229.425,-24.373,4,9,2,2.122±0.011,0.049,BLL,,0
149,RX J1100.3+4019,165.091,40.335,2,2,0,1.85±0.06,0.225,BLL,,3
150,NVSS J102703+060934,156.732,6.143,2,3,0,1.74±0.11,0.449,BLL,,2
151,RX J1117.2+0006,169.301,0.144,2,2,0,1.7±0.11,0.451,BLL,E,3
152,TXS 1515-273,229.512,-27.531,2,3,0,2.036±0.033,0.14,BLL,,0
153,PG 1553+113,238.931,11.188,65,88,3,1.697±0.007,0.36,BLL,,0
154,RX J1123.8+7230,170.959,72.513,2,2,0,1.65±0.11,0.38,BLL,E,3
155,S5 1027+74,157.792,74.702,3,5,1,2.18±0.07,0.123,BLL,,2
156,1ES 1028+511,157.845,50.884,6,9,0,1.73±0.03,0.36,BLL,,2
157,Markarian 501,253.474,39.759,81,109,22,1.795±0.008,0.034,BLL,E,0
158,NVSS J114023+152808,175.129,15.482,2,2,0,1.73±0.14,0.244,BLL,,3
159,4FGL J1158.8-1430,179.709,-14.501,1,3,0,1.72±0.13,0.48,BCU8,,3
160,GB6 J1037+5711,159.429,57.192,8,9,0,1.89±0.01,0.831,BLL,,2
161,H 1722+119,261.271,11.875,8,10,2,1.869±0.019,0.018,BLL,,0
162,1ES 1727+502,262.078,50.227,5,11,4,1.785±0.022,0.055,BLL,E,0
163,4FGL J1203.1+6031,180.788,60.518,2,2,0,2.12±0.03,0.065,BLL,,3
164,RX J1055.5-0126,163.889,-1.432,2,3,0,1.87±0.07,0.33,BLL,,2
165,1ES 1741+196,266.008,19.596,3,4,0,1.922±0.043,0.08,BLL,E,0
166,RBS 0958,169.271,20.229,6,6,0,1.9±0.03,0.138,BLL,,2
167,RX J1211.9+2242,183.015,22.709,2,2,0,1.97±0.11,0.453,BLL,,3
168,B2 1811+31,273.387,31.75,2,3,1,2.009±0.026,0.117,BLL,,0
169,PMN J1256-1146,194.063,-11.776,2,2,0,1.97±0.05,0.058,BLL,E,3
170,RBS 0970,170.201,42.204,10,12,0,1.64±0.02,0.124,BLL,,2
172,1RXS J195815.6-301119,299.581,-30.181,1,6,0,1.833±0.041,0.119,BLL,E,0
173,PMN J1203-3926,180.852,-39.426,2,5,0,1.84±0.06,0.28,BLL,,2
174,1ES 1959+650,300.011,65.148,89,115,32,1.815±0.009,0.047,BLL,,0
176,Ton 116,190.812,36.458,4,6,0,1.78±0.02,1.066,BLL,,2
177,B3 1307+433,197.363,43.085,2,2,0,1.9±0.02,0.694,BLL,,3
178,PG 1246+586,192.084,58.343,2,3,0,1.92±0.01,0.847,BLL,,2
179,PKS 2005-489,302.359,-48.825,16,23,1,1.841±0.017,0.071,BLL,,0
181,MG2 J204208+2426,310.536,24.458,4,5,1,1.947±0.052,0.104,BLL,E,0
183,PKS 2155-304,329.714,-30.225,58,83,8,1.857±0.006,0.116,BLL,,0
184,RX J1340.4+4410,205.147,44.161,2,2,0,1.74±0.1,0.546,BLL,E,3
185,SDSS J134105.10+395945.4,205.321,39.974,4,6,2,1.79±0.08,0.171,BLL,E,2
186,4FGL J1425.0+3615,216.252,36.257,2,2,0,1.89±0.05,1.094,BLL,,3
187,BL Lacertae,330.695,42.282,30,40,5,2.134±0.004,0.066,BLL,,0
188,PMN J1359-3746,209.967,-37.768,2,3,2,2.06±0.05,0.334,BLL,,2
189,B2 1447+27,222.396,27.769,2,2,0,1.48±0.11,0.031,RDG,,3
191,RGB J2243+203,340.99,20.357,3,4,0,1.878±0.015,0.39,BLL,,0
192,1RXS J144037.4-384658,220.155,-38.78,5,5,0,1.74±0.05,0.27,BLL,E,2
193,B3 2247+381,342.514,38.425,5,7,2,1.77±0.048,0.119,BLL,,0
194,MS 1458.8+2249,225.257,22.636,2,2,0,2.02±0.03,0.235,BLL,,3
195,1ES 2322-409,351.182,-40.683,3,4,0,1.762±0.036,0.174,BLL,,0
196,RBS 1432,222.017,36.134,4,5,0,1.83±0.02,1.508,BLL,,2
197,TXS 1516+064,229.65,6.242,1,3,0,1.8±0.16,0.102,RDG,E,3
198,H 2356-309,359.772,-30.637,3,5,0,1.838±0.059,0.165,BLL,E,0
200,PMN J1506+0814,226.674,8.226,2,3,0,1.8±0.04,0.376,BLL,,2
204,RBS 1558,241.592,56.498,2,2,0,1.76±0.1,0.45,BLL,,3
205,NVSS J154419-064913,236.079,-6.826,6,7,1,1.87±0.04,0.172,BCU,,2
206,PKS 1619-765,246.655,-76.65,2,2,0,1.92±0.07,0.105,BLL,,3
207,NGC 6251,247.669,82.574,2,2,0,2.35±0.02,0.02,RDG,,3
208,PMN J1548-2251,237.201,-22.847,5,8,1,1.8±0.04,0.192,BLL,,2
209,1RXS J155333.4-311841,238.392,-31.311,3,4,0,1.95±0.03,0.132,BLL,,2
211,4FGL J1554.2+2008,238.553,20.148,2,3,0,1.82±0.09,0.222,BLL,E,2
212,NVSS J170433-052839,256.138,-5.462,2,2,0,1.97±0.05,0.3,BLL,,3
213,1RXS J174420.1+185215,266.103,18.864,2,2,0,1.88±0.14,0.39,BLL,,3
214,PMN J1610-6649,242.692,-66.815,4,5,0,1.76±0.02,0.11,BLL,,2
215,4FGL J1838.4-6023,279.601,-60.393,2,2,0,2.0±0.13,0.121,BLL,,3
216,NVSS J164328-064619,250.883,-6.775,2,3,0,2.17±0.13,0.082,BLL,,2
218,TXS 1902+556,285.808,55.677,1,3,0,1.95±0.01,0.58,BLL,,3
219,1RXS J171405.2-202747,258.522,-20.486,2,6,1,1.61±0.1,0.09,BCU,,2
223,1RXS J195500.6-160328,298.777,-16.072,2,2,0,2.0±0.07,0.23,BLL,,3
224,S4 1749+70,267.158,70.097,3,4,0,2.02±0.01,0.77,BLL,,2
227,PMN J2014-0047,303.599,-0.792,1,3,1,2.0±0.08,0.231,BLL,,3
228,S5 1803+784,270.173,78.467,2,3,0,2.24±0.01,0.68,BLL,,2
230,RX J2030.8+1935,307.741,19.599,2,2,0,1.91±0.04,0.27,BLL,,3
233,GB6 J1838+4802,279.714,48.041,3,8,1,1.85±0.02,0.3,BLL,,2
234,RGB J2054+002,313.725,0.257,2,2,0,1.9±0.1,0.151,BLL,,3
235,1RXS J184230.6-584202,280.611,-58.68,2,3,0,1.73±0.09,0.33,BLL,E,2
236,4FGL J2104.4+2116,316.123,21.283,2,2,1,2.01±0.08,0.36,BLL10,,3
237,NVSS J185023+263151,282.64,26.526,3,5,0,1.69±0.1,0.22,BLL,,2
239,4FGL J1904.1+3627,286.034,36.453,3,4,0,1.85±0.06,0.078,BLL,E,2
240,4FGL J2159.6-4620,329.912,-46.334,1,3,0,1.92±0.09,0.4,BCU11,,3
241,NVSS J220941-045111,332.438,-4.86,2,2,0,1.92±0.08,0.397,BLL,,3
242,PMN J1911-1908,287.868,-19.149,2,4,0,1.87±0.07,0.16,BLL,E,2
243,1H 1914-194,289.438,-19.363,10,12,2,1.95±0.02,0.137,BLL,,2
245,4FGL J2232.6-2023,338.172,-20.391,2,2,0,1.96±0.12,0.386,BLL,E,3
248,RBS 1899,342.356,-13.001,1,3,0,2.37±0.15,0.607,BLL,E,3
249,4FGL J2252.0+4031,343.01,40.523,2,2,0,2.07±0.04,0.229,BLL,,3
250,PMN J1936-4719,294.242,-47.34,3,3,0,1.82±0.05,0.265,BLL,E,2
251,1RXS J194455.3-214318,296.229,-21.722,3,6,0,1.84±0.04,0.28,BLL,E,2
252,RGB J2313+147,348.508,14.753,2,2,0,1.82±0.05,0.164,BLL,E,3
254,S5 2007+77,301.393,77.883,3,3,1,2.23±0.02,0.342,BLL,,2
255,4FGL J2321.0-6308,350.258,-63.137,2,2,0,1.85±0.11,0.2,BLL,,3
256,PMN J2016-0903,304.098,-9.062,2,4,1,1.98±0.04,0.367,BLL,,2
257,4FGL J2026.1+7645,306.538,76.759,2,4,0,1.73±0.08,0.29,BLL7,,2
259,NVSS J204150-373341,310.479,-37.587,3,5,1,1.88±0.08,0.099,BLL,E,2
260,1RXS J204921.6-003930,312.446,-0.616,2,3,1,1.53±0.25,0.257,BLL,,2
261,1RXS J205528.2-002123,313.853,-0.34,3,3,1,1.8±0.07,0.407,BLL,E,2
265,RBS 1792,328.282,-0.693,3,3,0,1.86±0.12,0.342,BLL,E,2
270,TXS 2320+343,350.685,34.612,4,4,0,2.01±0.07,0.098,BLL,,2
271,NVSS J232914+375414,352.318,37.921,3,4,0,1.88±0.05,0.21,BLL,,2
272,1RXS J234051.4+801513,355.208,80.26,2,6,0,1.91±0.03,0.274,BLL,,2
273,1RXS J234332.5+343957,355.906,34.64,3,4,0,1.69±0.07,0.366,BLL,E,2
274,TXS 2344+068,356.679,7.093,2,6,1,1.9±0.04,0.171,BLL,,2
